"Regio's";"Codes en namen van gemeenten/Code (code)";"Codes en namen van gemeenten/Naam (naam)";"Lokaliseringen van gemeenten/GGD-regio's/Code (code)";"Lokaliseringen van gemeenten/GGD-regio's/Naam (naam)";"Lokaliseringen van gemeenten/Provincies/Code (code)";"Lokaliseringen van gemeenten/Provincies/Naam (naam)"
"Aa en Hunze";"GM1680    ";"Aa en Hunze                                       ";"GG0706    ";"GGD Drenthe                                       ";"PV22      ";"Drenthe                                           "
"Aalsmeer";"GM0358    ";"Aalsmeer                                          ";"GG3406    ";"GGD Amsterdam                                     ";"PV27      ";"Noord-Holland                                     "
"Aalten";"GM0197    ";"Aalten                                            ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     ";"PV25      ";"Gelderland                                        "
"Achtkarspelen";"GM0059    ";"Achtkarspelen                                     ";"GG7206    ";"GGD Fryslân                                       ";"PV21      ";"Fryslân                                           "
"Alblasserdam";"GM0482    ";"Alblasserdam                                      ";"GG4816    ";"Dienst Gezondheid & Jeugd ZHZ                     ";"PV28      ";"Zuid-Holland                                      "
"Albrandswaard";"GM0613    ";"Albrandswaard                                     ";"GG4607    ";"GGD Rotterdam-Rijnmond                            ";"PV28      ";"Zuid-Holland                                      "
"Alkmaar";"GM0361    ";"Alkmaar                                           ";"GG2707    ";"GGD Hollands-Noorden                              ";"PV27      ";"Noord-Holland                                     "
"Almelo";"GM0141    ";"Almelo                                            ";"GG1106    ";"GGD Regio Twente                                  ";"PV23      ";"Overijssel                                        "
"Almere";"GM0034    ";"Almere                                            ";"GG2209    ";"GGD Flevoland                                     ";"PV24      ";"Flevoland                                         "
"Alphen aan den Rijn";"GM0484    ";"Alphen aan den Rijn                               ";"GG4506    ";"GGD Hollands-Midden                               ";"PV28      ";"Zuid-Holland                                      "
"Alphen-Chaam";"GM1723    ";"Alphen-Chaam                                      ";"GG5206    ";"GGD West-Brabant                                  ";"PV30      ";"Noord-Brabant                                     "
"Altena";"GM1959    ";"Altena                                            ";"GG5206    ";"GGD West-Brabant                                  ";"PV30      ";"Noord-Brabant                                     "
"Ameland";"GM0060    ";"Ameland                                           ";"GG7206    ";"GGD Fryslân                                       ";"PV21      ";"Fryslân                                           "
"Amersfoort";"GM0307    ";"Amersfoort                                        ";"GG2514    ";"GGD Regio Utrecht                                 ";"PV26      ";"Utrecht                                           "
"Amstelveen";"GM0362    ";"Amstelveen                                        ";"GG3406    ";"GGD Amsterdam                                     ";"PV27      ";"Noord-Holland                                     "
