"Leeftijd";"Geboorteland";"Perioden";"Regio's";"Mannen en vrouwen (aantal)"
"Totaal";"Totaal";"2020";"Nederland";17407585
"Totaal";"Totaal";"2020";"Groningen (PV)";585866
"Totaal";"Totaal";"2020";"Fryslân (PV)";649957
"Totaal";"Totaal";"2020";"Drenthe (PV)";493682
"Totaal";"Totaal";"2020";"Overijssel (PV)";1162406
"Totaal";"Totaal";"2020";"Flevoland (PV)";423021
"Totaal";"Totaal";"2020";"Gelderland (PV)";2085952
"Totaal";"Totaal";"2020";"Utrecht (PV)";1354834
"Totaal";"Totaal";"2020";"Noord-Holland (PV)";2879527
"Totaal";"Totaal";"2020";"Zuid-Holland (PV)";3708696
"Totaal";"Totaal";"2020";"Zeeland (PV)";383488
"Totaal";"Totaal";"2020";"Noord-Brabant (PV)";2562955
"Totaal";"Totaal";"2020";"Limburg (PV)";1117201
"65 jaar of ouder";"Totaal";"2020";"Nederland";3392555
"65 jaar of ouder";"Totaal";"2020";"Groningen (PV)";116735
"65 jaar of ouder";"Totaal";"2020";"Fryslân (PV)";140773
"65 jaar of ouder";"Totaal";"2020";"Drenthe (PV)";115285
"65 jaar of ouder";"Totaal";"2020";"Overijssel (PV)";227104
"65 jaar of ouder";"Totaal";"2020";"Flevoland (PV)";59783
"65 jaar of ouder";"Totaal";"2020";"Gelderland (PV)";426100
"65 jaar of ouder";"Totaal";"2020";"Utrecht (PV)";231599
"65 jaar of ouder";"Totaal";"2020";"Noord-Holland (PV)";520253
"65 jaar of ouder";"Totaal";"2020";"Zuid-Holland (PV)";675978
"65 jaar of ouder";"Totaal";"2020";"Zeeland (PV)";91438
"65 jaar of ouder";"Totaal";"2020";"Noord-Brabant (PV)";520662
"65 jaar of ouder";"Totaal";"2020";"Limburg (PV)";266845
