ID;Persoonskenmerken;Marges;RegioS;ErvarenGezondheidGoedZeerGoed_6
4586;80200;MW00000;GM1680;    74.5
4587;80200;MW00000;GM0358;    71.2
4588;80200;MW00000;GM0197;    68.3
4589;80200;MW00000;GM0059;    63.9
4590;80200;MW00000;GM0482;    63.6
4591;80200;MW00000;GM0613;    68.5
4592;80200;MW00000;GM0361;    66.5
4593;80200;MW00000;GM0141;    67.6
4594;80200;MW00000;GM0034;    66.8
4595;80200;MW00000;GM0484;    71.7
4596;80200;MW00000;GM1723;    70.4
4597;80200;MW00000;GM1959;    66.9
4598;80200;MW00000;GM0060;    72.5
4599;80200;MW00000;GM0307;    69.6
4600;80200;MW00000;GM0362;    66.3
4601;80200;MW00000;GM0363;    61.2
4602;80200;MW00000;GM0200;    70.9
4603;80200;MW00000;GM0003;    59.7
4604;80200;MW00000;GM0202;    63.0
4605;80200;MW00000;GM0106;    70.3
4606;80200;MW00000;GM0743;    70.4
4607;80200;MW00000;GM0744;    62.2
4608;80200;MW00000;GM0308;    76.0
4609;80200;MW00000;GM0489;    75.3
4610;80200;MW00000;GM0203;    72.0
4611;80200;MW00000;GM0888;    58.8
4612;80200;MW00000;GM1954;    61.3
4613;80200;MW00000;GM0370;    70.5
4614;80200;MW00000;GM0889;    64.2
4615;80200;MW00000;GM1945;    62.9
4616;80200;MW00000;GM1724;    69.2
4617;80200;MW00000;GM0893;    66.0
4618;80200;MW00000;GM0373;    72.8
4619;80200;MW00000;GM0748;    66.3
4620;80200;MW00000;GM1859;    73.0
4621;80200;MW00000;GM1721;    69.3
4622;80200;MW00000;GM0753;    66.9
4623;80200;MW00000;GM0209;    64.6
4624;80200;MW00000;GM0375;    64.4
4625;80200;MW00000;GM0310;    71.0
4626;80200;MW00000;GM1728;    70.1
4627;80200;MW00000;GM0376;    76.2
4628;80200;MW00000;GM0377;    75.3
4629;80200;MW00000;GM1901;    70.5
4630;80200;MW00000;GM0755;    67.8
4631;80200;MW00000;GM1681;    65.7
4632;80200;MW00000;GM0147;    70.3
4633;80200;MW00000;GM0654;    65.8
4634;80200;MW00000;GM0756;    72.5
4635;80200;MW00000;GM0757;    70.7
4636;80200;MW00000;GM0758;    65.9
4637;80200;MW00000;GM0501;    68.5
4638;80200;MW00000;GM1876;    73.7
4639;80200;MW00000;GM0213;    73.5
4640;80200;MW00000;GM0899;    55.3
4641;80200;MW00000;GM0312;    73.7
4642;80200;MW00000;GM0313;    72.5
4643;80200;MW00000;GM0214;    67.9
4644;80200;MW00000;GM0502;    62.0
4645;80200;MW00000;GM0383;    70.9
4646;80200;MW00000;GM0109;    67.6
4647;80200;MW00000;GM1706;    68.8
4648;80200;MW00000;GM1684;    67.4
4649;80200;MW00000;GM0216;    67.6
4650;80200;MW00000;GM0148;    76.2
4651;80200;MW00000;GM1891;    67.5
4652;80200;MW00000;GM0503;    64.0
4653;80200;MW00000;GM0010;    67.7
4654;80200;MW00000;GM0762;    64.9
4655;80200;MW00000;GM0150;    67.5
4656;80200;MW00000;GM0384;    60.6
4657;80200;MW00000;GM1774;    72.4
4658;80200;MW00000;GM0221;    70.2
4659;80200;MW00000;GM0222;    70.8
4660;80200;MW00000;GM0766;    70.8
4661;80200;MW00000;GM0505;    63.0
4662;80200;MW00000;GM0498;    73.9
4663;80200;MW00000;GM1719;    68.8
4664;80200;MW00000;GM0303;    71.9
4665;80200;MW00000;GM0225;    62.2
4666;80200;MW00000;GM0226;    71.9
4667;80200;MW00000;GM1711;    63.7
4668;80200;MW00000;GM0385;    67.2
4669;80200;MW00000;GM0228;    71.4
4670;80200;MW00000;GM0317;    74.7
4671;80200;MW00000;GM0770;    65.6
4672;80200;MW00000;GM1903;    68.2
4673;80200;MW00000;GM0772;    63.4
4674;80200;MW00000;GM0230;    71.2
4675;80200;MW00000;GM0114;    66.8
4676;80200;MW00000;GM0388;    69.5
4677;80200;MW00000;GM0153;    61.7
4678;80200;MW00000;GM0232;    75.5
4679;80200;MW00000;GM0233;    71.5
4680;80200;MW00000;GM0777;    68.7
4681;80200;MW00000;GM1940;    73.5
4682;80200;MW00000;GM0779;    67.4
4683;80200;MW00000;GM1771;    68.7
4684;80200;MW00000;GM1652;    65.9
4685;80200;MW00000;GM0907;    66.8
4686;80200;MW00000;GM0784;    62.2
4687;80200;MW00000;GM1924;    68.1
4688;80200;MW00000;GM0664;    65.1
4689;80200;MW00000;GM0785;    66.7
4690;80200;MW00000;GM1942;    73.5
4691;80200;MW00000;GM0512;    65.1
4692;80200;MW00000;GM0513;    68.5
4693;80200;MW00000;GM0786;    68.6
4694;80200;MW00000;GM0518;    58.8
4695;80200;MW00000;GM0014;    66.3
4696;80200;MW00000;GM1729;    63.4
4697;80200;MW00000;GM0158;    69.7
4698;80200;MW00000;GM0788;    71.7
4699;80200;MW00000;GM0392;    67.9
4700;80200;MW00000;GM0394;    70.3
4701;80200;MW00000;GM1655;    65.8
4702;80200;MW00000;GM0160;    71.4
4703;80200;MW00000;GM0243;    70.4
4704;80200;MW00000;GM0523;    64.7
4705;80200;MW00000;GM0072;    70.5
4706;80200;MW00000;GM0244;    72.0
4707;80200;MW00000;GM0396;    68.4
4708;80200;MW00000;GM0397;    72.5
4709;80200;MW00000;GM0246;    70.7
4710;80200;MW00000;GM0074;    69.8
4711;80200;MW00000;GM0398;    70.6
4712;80200;MW00000;GM0917;    55.6
4713;80200;MW00000;GM1658;    71.9
4714;80200;MW00000;GM0399;    76.2
4715;80200;MW00000;GM0400;    65.5
4716;80200;MW00000;GM0163;    73.5
4717;80200;MW00000;GM0530;    67.7
4718;80200;MW00000;GM0794;    64.0
4719;80200;MW00000;GM0531;    65.5
4720;80200;MW00000;GM0164;    68.9
4721;80200;MW00000;GM0796;    68.0
4722;80200;MW00000;GM0252;    71.7
4723;80200;MW00000;GM0797;    67.4
4724;80200;MW00000;GM0534;    74.0
4725;80200;MW00000;GM0798;    70.7
4726;80200;MW00000;GM0402;    66.8
4727;80200;MW00000;GM1963;    71.8
4728;80200;MW00000;GM1735;    72.6
4729;80200;MW00000;GM1966;    70.8
4730;80200;MW00000;GM1911;    69.7
4731;80200;MW00000;GM0118;    62.7
4732;80200;MW00000;GM0405;    68.6
4733;80200;MW00000;GM1507;    67.3
4734;80200;MW00000;GM0321;    70.1
4735;80200;MW00000;GM0406;    72.6
4736;80200;MW00000;GM0677;    65.8
4737;80200;MW00000;GM0353;    65.4
4738;80200;MW00000;GM1884;    74.0
4739;80200;MW00000;GM0166;    69.7
4740;80200;MW00000;GM0678;    68.5
4741;80200;MW00000;GM0537;    67.6
4742;80200;MW00000;GM0928;    56.5
4743;80200;MW00000;GM1598;    75.7
4744;80200;MW00000;GM0542;    68.7
4745;80200;MW00000;GM1931;    70.8
4746;80200;MW00000;GM1659;    69.8
4747;80200;MW00000;GM1685;    66.4
4748;80200;MW00000;GM0882;    56.3
4749;80200;MW00000;GM0415;    65.7
4750;80200;MW00000;GM0416;    75.2
4751;80200;MW00000;GM1621;    74.6
4752;80200;MW00000;GM0417;    77.5
4753;80200;MW00000;GM0080;    66.9
4754;80200;MW00000;GM0546;    64.4
4755;80200;MW00000;GM0547;    71.2
4756;80200;MW00000;GM1916;    68.1
4757;80200;MW00000;GM0995;    65.4
4758;80200;MW00000;GM1640;    65.2
4759;80200;MW00000;GM0327;    73.6
4760;80200;MW00000;GM1705;    69.7
4761;80200;MW00000;GM0553;    70.6
4762;80200;MW00000;GM0262;    73.8
4763;80200;MW00000;GM0809;    64.0
4764;80200;MW00000;GM0331;    66.7
4765;80200;MW00000;GM0024;    68.0
4766;80200;MW00000;GM0168;    64.7
4767;80200;MW00000;GM0263;    62.4
4768;80200;MW00000;GM1641;    65.1
4769;80200;MW00000;GM0556;    65.8
4770;80200;MW00000;GM0935;    58.3
4771;80200;MW00000;GM0420;    69.7
4772;80200;MW00000;GM0938;    60.1
4773;80200;MW00000;GM1948;    69.2
4774;80200;MW00000;GM0119;    74.1
4775;80200;MW00000;GM0687;    71.8
4776;80200;MW00000;GM1842;    74.4
4777;80200;MW00000;GM1731;    67.5
4778;80200;MW00000;GM1952;    62.8
4779;80200;MW00000;GM0815;    68.8
4780;80200;MW00000;GM1709;    68.9
4781;80200;MW00000;GM1978;    72.8
4782;80200;MW00000;GM1955;    65.3
4783;80200;MW00000;GM0335;    72.5
4784;80200;MW00000;GM0944;    75.4
4785;80200;MW00000;GM1740;    66.6
4786;80200;MW00000;GM0946;    65.3
4787;80200;MW00000;GM0356;    65.9
4788;80200;MW00000;GM0569;    69.9
4789;80200;MW00000;GM0267;    70.6
4790;80200;MW00000;GM0268;    61.0
4791;80200;MW00000;GM1930;    66.0
4792;80200;MW00000;GM1970;    75.6
4793;80200;MW00000;GM1695;    67.7
4794;80200;MW00000;GM1699;    68.2
4795;80200;MW00000;GM0171;    72.4
4796;80200;MW00000;GM0575;    76.6
4797;80200;MW00000;GM0820;    75.7
4798;80200;MW00000;GM0302;    70.4
4799;80200;MW00000;GM0579;    68.3
4800;80200;MW00000;GM0823;    70.0
4801;80200;MW00000;GM0824;    67.6
4802;80200;MW00000;GM1895;    58.1
4803;80200;MW00000;GM0269;    63.9
4804;80200;MW00000;GM0173;    71.9
4805;80200;MW00000;GM1773;    70.9
4806;80200;MW00000;GM0175;    73.8
4807;80200;MW00000;GM1586;    68.2
4808;80200;MW00000;GM0826;    68.3
4809;80200;MW00000;GM0085;    73.6
4810;80200;MW00000;GM0431;    70.2
4811;80200;MW00000;GM0432;    68.3
4812;80200;MW00000;GM0086;    71.0
4813;80200;MW00000;GM0828;    67.9
4814;80200;MW00000;GM1509;    69.5
4815;80200;MW00000;GM0437;    71.3
4816;80200;MW00000;GM0589;    71.4
4817;80200;MW00000;GM1734;    70.9
4818;80200;MW00000;GM0590;    70.4
4819;80200;MW00000;GM1894;    66.1
4820;80200;MW00000;GM0765;    60.3
4821;80200;MW00000;GM1926;    73.2
4822;80200;MW00000;GM0439;    65.1
4823;80200;MW00000;GM0273;    68.3
4824;80200;MW00000;GM0177;    72.7
4825;80200;MW00000;GM0703;    64.5
4826;80200;MW00000;GM0274;    74.1
4827;80200;MW00000;GM0339;    68.2
4828;80200;MW00000;GM1667;    71.5
4829;80200;MW00000;GM0275;    66.3
4830;80200;MW00000;GM0340;    69.7
4831;80200;MW00000;GM0597;    65.2
4832;80200;MW00000;GM1742;    71.9
4833;80200;MW00000;GM0603;    64.7
4834;80200;MW00000;GM1669;    62.8
4835;80200;MW00000;GM0957;    65.1
4836;80200;MW00000;GM0736;    74.2
4837;80200;MW00000;GM1674;    66.8
4838;80200;MW00000;GM0599;    57.8
4839;80200;MW00000;GM0277;    78.8
4840;80200;MW00000;GM0840;    57.6
4841;80200;MW00000;GM0441;    68.2
4842;80200;MW00000;GM0279;    69.8
4843;80200;MW00000;GM0606;    60.5
4844;80200;MW00000;GM0088;       .
4845;80200;MW00000;GM1676;    67.8
4846;80200;MW00000;GM0965;    58.2
4847;80200;MW00000;GM1702;    65.6
4848;80200;MW00000;GM0845;    71.3
4849;80200;MW00000;GM1883;    56.3
4850;80200;MW00000;GM0610;    64.1
4851;80200;MW00000;GM1714;    61.3
4852;80200;MW00000;GM0090;    70.9
4853;80200;MW00000;GM0342;    72.7
4854;80200;MW00000;GM0847;    67.5
4855;80200;MW00000;GM0848;    68.3
4856;80200;MW00000;GM0037;    64.2
4857;80200;MW00000;GM0180;    76.8
4858;80200;MW00000;GM0532;    69.6
4859;80200;MW00000;GM0851;    68.7
4860;80200;MW00000;GM1708;    71.8
4861;80200;MW00000;GM0971;    57.7
4862;80200;MW00000;GM1904;    68.4
4863;80200;MW00000;GM1900;    73.2
4864;80200;MW00000;GM0715;    65.1
4865;80200;MW00000;GM0093;    76.7
4866;80200;MW00000;GM0448;    69.7
4867;80200;MW00000;GM1525;    74.6
4868;80200;MW00000;GM0716;    65.9
4869;80200;MW00000;GM0281;    65.5
4870;80200;MW00000;GM0855;    64.6
4871;80200;MW00000;GM0183;    74.3
4872;80200;MW00000;GM1700;    66.4
4873;80200;MW00000;GM1730;    71.3
4874;80200;MW00000;GM0737;    72.4
4875;80200;MW00000;GM0856;    68.3
4876;80200;MW00000;GM0450;    80.5
4877;80200;MW00000;GM0451;    69.3
4878;80200;MW00000;GM0184;    67.6
4879;80200;MW00000;GM0344;    59.8
4880;80200;MW00000;GM1581;    72.5
4881;80200;MW00000;GM0981;    60.8
4882;80200;MW00000;GM0994;    64.0
4883;80200;MW00000;GM0858;    69.2
4884;80200;MW00000;GM0047;    71.4
4885;80200;MW00000;GM0345;    68.8
4886;80200;MW00000;GM0717;    73.9
4887;80200;MW00000;GM0861;    66.2
4888;80200;MW00000;GM0453;    66.4
4889;80200;MW00000;GM0983;    62.8
4890;80200;MW00000;GM0984;    67.1
4891;80200;MW00000;GM1961;    66.6
4892;80200;MW00000;GM0622;    63.7
4893;80200;MW00000;GM0096;       .
4894;80200;MW00000;GM0718;    68.7
4895;80200;MW00000;GM0986;    61.0
4896;80200;MW00000;GM0626;    74.1
4897;80200;MW00000;GM0285;    68.0
4898;80200;MW00000;GM0865;    70.6
4899;80200;MW00000;GM1949;    73.2
4900;80200;MW00000;GM0866;    71.1
4901;80200;MW00000;GM0867;    66.4
4902;80200;MW00000;GM0627;    74.4
4903;80200;MW00000;GM0289;    71.1
4904;80200;MW00000;GM0629;    73.4
4905;80200;MW00000;GM0852;    74.1
4906;80200;MW00000;GM0988;    63.9
4907;80200;MW00000;GM0457;    69.8
4908;80200;MW00000;GM1960;    66.5
4909;80200;MW00000;GM0668;    66.2
4910;80200;MW00000;GM1969;    73.3
4911;80200;MW00000;GM1701;    71.5
4912;80200;MW00000;GM0293;    71.9
4913;80200;MW00000;GM1950;    64.2
4914;80200;MW00000;GM1783;    70.1
4915;80200;MW00000;GM0098;    71.9
4916;80200;MW00000;GM0614;    65.1
4917;80200;MW00000;GM0189;    73.4
4918;80200;MW00000;GM0296;    67.8
4919;80200;MW00000;GM1696;    72.9
4920;80200;MW00000;GM0352;    70.9
4921;80200;MW00000;GM0294;    68.9
4922;80200;MW00000;GM0873;    63.8
4923;80200;MW00000;GM0632;    70.3
4924;80200;MW00000;GM1690;    72.6
4925;80200;MW00000;GM0880;    69.7
4926;80200;MW00000;GM0351;    74.9
4927;80200;MW00000;GM0479;    64.0
4928;80200;MW00000;GM0297;    67.7
4929;80200;MW00000;GM0473;    69.2
4930;80200;MW00000;GM0050;    70.1
4931;80200;MW00000;GM0355;    69.5
4932;80200;MW00000;GM0299;    65.8
4933;80200;MW00000;GM0637;    67.3
4934;80200;MW00000;GM0638;    77.0
4935;80200;MW00000;GM1892;    73.3
4936;80200;MW00000;GM0879;    60.8
4937;80200;MW00000;GM0301;    75.2
4938;80200;MW00000;GM1896;    68.1
4939;80200;MW00000;GM0642;    67.6
4940;80200;MW00000;GM0193;    69.2
