"Geslacht";"Persoonskenmerken";"Regio's";"Wmo-cliënten; gebruik Wlz aantal (aantal)"
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Aa en Hunze";40
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Aalsmeer";
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Aalten";20
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Achtkarspelen";25
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Alblasserdam";15
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Albrandswaard";40
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Alkmaar";65
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Almelo";10
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Almere";125
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Alphen aan den Rijn";55
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Alphen-Chaam";5
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Altena";40
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Ameland";5
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Amersfoort";135
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Amstelveen";
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Amsterdam";605
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Apeldoorn";285
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Appingedam";
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Arnhem";95
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Assen";150
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Asten";30
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Baarle-Nassau";5
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Baarn";140
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Barendrecht";60
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Barneveld";65
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Beek (L.)";10
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Beekdaelen";
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Beemster";40
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Beesel";5
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Berg en Dal";55
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Bergeijk";15
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Bergen (L.)";5
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Bergen (NH.)";55
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Bergen op Zoom";
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Berkelland";50
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Bernheze";25
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Best";25
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Beuningen";
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Beverwijk";30
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"De Bilt";40
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Bladel";25
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Blaricum";0
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Bloemendaal";35
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Bodegraven-Reeuwijk";20
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Boekel";35
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Borger-Odoorn";20
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Borne";30
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Borsele";35
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Boxmeer";
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Boxtel";40
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Breda";280
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Brielle";20
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Bronckhorst";35
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Brummen";30
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Brunssum";30
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Bunnik";15
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Bunschoten";40
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Buren";5
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Capelle aan den IJssel";65
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Castricum";45
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Coevorden";10
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Cranendonck";20
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Cuijk";30
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Culemborg";0
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Dalfsen";20
"Totaal mannen en vrouwen";"Leeftijd: 45 tot 60 jaar";"Dantumadiel";15
